name,Price Discounted,Price Full
"Placa de Video Gigabyte GeForce RTX 3070 Aorus Master, LHR, 8GB, GDDR6, 256-bit, GV-N3070AORUS M-8GD REV 2.0",6099.99,6931.81
"Placa de Video Galax GeForce RTX 3070 1-Click OC, LHR, 8GB, GDDR6, 256-bit, 37NSL6MD2KCH",4129.99,4693.17
"Placa de Video Sapphire Radeon RX 6600 Pulse, 8GB, GDDR6, 128-Bit, 11310-01-20G",3855.49,4381.24
"Placa de Video MSI GeForce RTX 3060 Ti Gaming X, LHR, 8GB, GDDR6, 256-bit, 912-V397-234",3599.99,4090.9
"Placa de Video Asus Radeon RX 6700 XT Dual OC Edition, 12GB, GDDR6, 192-bit, DUAL-RX6700XT-O12G",8575.36,9744.73
"Placa de Video Asus GeForce RTX 3060 Ti KO OC, LHR, 8GB, GDDR6, 256-bit, KO-RTX3060TI-O8G-V2-GAMING",5799.90,6590.8
"Placa de Video PNY GeForce RTX 3060 Ti XLR8 Gaming Epic-X RGB LHR, 8GB, GDDR6, 256-bit, VCG3060T8LDFXPPB",2999.99,3409.08
"Placa de Video Asus GeForce RTX 3070 KO OC LHR, 8GB, GDDR6, 256-bit, KO-RTX3070-O8G-V2-GAMING",4199.99,4772.72
"Placa de Video Asus Radeon RX 6600 XT ROG Strix OC Edition, 8GB, GDDR6, 128-Bit, ROG-STRIX-RX6600XT-O8G-GAMING",3098.99,3521.58
"Placa de Video Gigabyte Radeon RX 6600 XT Gaming OC Pro, 8GB, GDDR6, 128-Bit, GV-R66XTGAMINGOC PRO-8GD",4098.99,4657.94
"Placa de Video Sapphire Radeon RX 6600 XT Pulse OC, 8GB, GDDR6, 128-Bit, 11309-03-20G",2998.99,3407.94
"Placa de Video ASRock Radeon RX 6600 XT Phantom Gaming D OC, 8GB, GDDR6, 128-Bit, 90-GA2QZZ-00UANF",2898.99,3294.31
"Placa de Video ASRock Radeon RX 6600 XT Challenger D OC, 8GB, GDDR6, 128-Bit, 90-GA2TZZ-00UANF",2949.89,3352.15
"Placa de Video Asus GeForce RTX 3070 OC LHR 8GB GDDR6 Dual 256-bit, DUAL-RTX3070-O8G-V2",3699.99,4204.53
"Placa de Video Asus GeForce RTX 3060 Ti V2 OC LHR 8GB GDDR6 Dual 256-bit, DUAL-RTX3060TI-O8G-V2",3399.99,3863.62
"Placa de Video Gigabyte GeForce RTX 3080 Ti Gaming OC 12GB GDDR6X 384-bit, GV-N308TGAMING OC-12GD",7599.99,8636.35
"Placa de Video Asus GeForce RTX 3060 Ti TUF Gaming OC LHR 8GB GDDR6 256-bit, TUF-RTX3060TI-O8G-V2-GAMING",3699.99,4204.53
"Placa de Video Asus GeForce RTX 3070 TUF Gaming OC LHR 8GB GDDR6 256-bit, TUF-RTX3070-O8G-V2-GAMING",4299.99,4886.35
"Placa de Video Sapphire Pulse Radeon RX 6800 XT 16GB GDDR6 OC 256-bit, 11304-03-20G",5999.98,6818.16
"Placa de Video Asrock Radeon RX 6700 XT Challenger D 12GB GDDR6 OC 192-bit, 90-GA31ZZ-00UANF",3698.99,4203.4
"Placa De Video Duex Geforce GT 730 4GB DDR3 128Bit, DX GT730LP-4GD3",459.90,522.61
"Placa de Video Asus GeForce GTX 1650 4GB GDDR6 OC TUF Gaming 128-bit, TUF-GTX1650-O4GD6-GAMING",1299.99,1477.26
"Placa de Video Gigabyte Radeon RX 6900 XT Gaming OC 16GB GDDR6 256-bit, GV-R69XTGAMING OC-16GD",6999.99,7954.53
"Placa de Video AsRock Radeon RX 6800 XT Taichi 16GB OC Edition GDDR6 256-bit, 90-GA27ZZ-00UANF",5299.89,6022.6
"Placa de Video AsRock Radeon RX 6900 XT 16GB Phantom Gaming OC Edition GDDR6 256-bit, 90-GA2DZZ-00UANF",6499.98,7386.34
"Placa de Video Afox Radeon R5 220 2GB DDR3 64-bit, AFR5220-2048D3L5-V2",229.90,261.25
"Placa de Video Sapphire Pulse Radeon RX 6800 16GB GDDR6 OC 256-bit, 11305-02-20G",4599.98,5227.25
"Placa de Video Asus GeForce GTX 1650 4GB GDDR6 OC Phoenix 128-bit, PH-GTX1650-O4GD6",1399.99,1590.9
"Placa de Video Gigabyte GeForce RTX 3090 Gaming OC 24GB GDDR6X 384-bit, GV-N3090GAMING OC-24GD",10099.99,11477.26
"Placa de Video Asus GeForce RTX 3090 OC 24GB GDDR6X ROG Strix 384-bit, ROG-STRIX-RTX3090-O24G-GAMING",11158.99,12680.67
"Placa de Video MSI GeForce RTX 3090 Gaming X Trio 24GB GDDR6X 384-bit, 912-V388-011",10199.99,11590.9
"Placa de Video Asus GeForce GTX 1650 Super OC 4GB GDDR6 TUF Gaming 128-bit, TUF-GTX1650S-O4G-GAMING",2099.90,2386.25
"Placa de Video Afox Radeon R5 220 2GB 64-bit, AFR5220-2048D3L9-V2",259.90,295.34
"Placa de Video Asus GeForce GTX 1660 Super 6GB TUF OC 192-bit, TUF-GTX1660S-O6G-GAMING",2499.90,2840.8
"Placa de Video MSI GeForce GTX 1660 Super 6GB Ventus XS OC 192-bit, 912-V375-279",2149.99,2443.17
"Placa de Video MSI GeForce GTX 1650 4GB Ventus XS OC 128-bit, 912-V809-3445",1379.99,1568.17
"Placa de Video Gigabyte GeForce GTX 1660 6GB GDDR5 OC 192-bit, GV-N1660OC-6GD",2299.99,2613.62
